option_name,size_bytes
bricks_breakpoints_last_generated,6
bricks_capabilities_permissions,6
bricks_color_palette,4705
bricks_global_classes,97917
bricks_global_classes_categories,68
bricks_global_classes_changes,2506
bricks_global_classes_locked,3829
bricks_global_classes_timestamp,10
bricks_global_classes_trash,6
bricks_global_classes_user,1
bricks_global_settings,902
bricks_global_variables,20427
bricks_global_variables_categories,68
bricks_license_key,32
bricks_license_status_key_hash,32
bricks_media_usage_version,36
bricks_theme_styles,507
