name,status,version,update
acf-options-for-polylang,active,2.0.0,none
advanced-custom-fields-pro,active,6.8.10,none
automatic-css,active,4.0.1,none
breeze,active,2.5.17,none
object-cache-pro,active,1.25.5,none
polylang,active,3.8.9,none
seo-by-rank-math,active,1.0.279,none
seo-by-rank-math-pro,active,3.0.122,none
regenerate-thumbnails-advanced,active,2.5.0,none
wpcodebox,active,1.4.1,none
ws-form-pro,active,1.12.11,none
ws-form-google-drive,active,1.0.10,none
advanced-cache.php,dropin,,
object-cache.php,dropin,,
