post_type	post_status	n
acf-field	publish	76
acf-field	trash	91
acf-field-group	publish	4
acf-field-group	trash	4
acf-post-type	publish	2
acf-post-type	trash	2
acf-taxonomy	publish	1
acf-taxonomy	trash	1
acf-ui-options-page	publish	1
acf-ui-options-page	trash	1
attachment	inherit	950
bricks_template	publish	6
condition_group	wpca_or	1
cost-calc	draft	101
cost-calc	publish	2
cost-calc-categories	publish	10
cost-calc-templates	publish	101
ct_template	publish	31
custom_css	publish	2
da_image	publish	1
flamingo_contact	publish	845
flamingo_inbound	publish	1228
grw_feed	publish	9
gs-logo-slider	publish	37
nav_menu_item	publish	38
oembed_cache	publish	12
oxy_user_library	publish	2
page	draft	13
page	publish	409
polylang_mo	private	2
post	auto-draft	3
post	draft	1
post	publish	46
revision	inherit	4281
service_areas	publish	5
wp_global_styles	publish	3
wp_navigation	publish	1
wpcb_snippet_folder	publish	1
wpcb_snippet_post	publish	18
wpcf7_contact_form	publish	6
wpcf7r_action	private	3
wpforms	publish	7

